구분,항공사,편명,출발지,도착지,출발시간,도착시간,운항요일,운항시작기간,운항종료기간,데이터기준일자
출발,아시아나항공,OZ8900,제주,서울/김포,06:30,07:40,월+화+수+목+금+토+일,2024-04-01,2024-10-26,2024-06-19
출발,제주항공,7C308,제주,무안,07:00,08:00,화+토,2024-04-24,2024-10-16,2024-06-19
출발,대한항공,KE1118,제주,서울/김포,07:00,08:10,월+화+수+목+금+토+일,2024-06-02,2024-10-26,2024-06-19
출발,대한항공,KE1704,제주,청주,07:20,08:30,월+화+수+목+금+토+일,2024-03-31,2024-06-30,2024-06-19
출발,대한항공,KE1704,제주,청주,07:20,08:30,월+화+수+목+금+토+일,2024-07-01,2024-10-26,2024-06-19
출발,제주항공,7C102,제주,서울/김포,07:40,08:50,월+수+목+금+일,2024-03-31,2024-10-26,2024-06-19
출발,진에어,LJ452,제주,광주,07:45,08:40,월+화+수+금+토,2024-05-09,2024-09-29,2024-06-19
출발,진에어,LJ452,제주,광주,07:45,08:40,월+화+수+목+금+토+일,2024-09-30,2024-10-26,2024-06-19
출발,에어서울,RS902,제주,서울/김포,07:45,08:55,월+화+수+목+금+토+일,2024-05-27,2024-10-26,2024-06-19
출발,이스타항공,ZE702,제주,청주,07:50,09:00,월+화+수+목+금+토+일,2024-03-31,2024-10-26,2024-06-19
출발,아시아나항공,OZ8122,제주,대구,07:55,09:00,월+화+수+목+금+토+일,2024-03-31,2024-10-26,2024-06-19
출발,아시아나항공,OZ8904,제주,서울/김포,07:55,09:05,월+화+수+목+금+토+일,2024-03-31,2024-10-26,2024-06-19
출발,티웨이항공,TW702,제주,서울/김포,07:55,09:05,월+화+수+목+금+토+일,2024-03-31,2024-10-26,2024-06-19
출발,제주항공,7C522,제주,부산/김해,08:00,09:00,화+토,2024-03-31,2024-10-26,2024-06-19
출발,티웨이항공,TW802,제주,대구,08:00,08:55,수,2024-03-31,2024-10-26,2024-06-19
출발,진에어,LJ422,제주,대구,08:05,09:05,월+화+수+목+금+토+일,2024-03-31,2024-10-26,2024-06-19
출발,이스타항공,ZE202,제주,서울/김포,08:05,09:15,월+화+수+목+금+토+일,2024-06-05,2024-10-26,2024-06-19
출발,제주항공,7C852,제주,청주,08:10,09:20,월+화+수+목+금+토+일,2024-03-31,2024-10-26,2024-06-19
출발,제주항공,7C602,제주,광주,08:20,09:20,월+화+수+목+금+토+일,2024-03-31,2024-10-26,2024-06-19
출발,진에어,LJ502,제주,서울/김포,08:20,09:30,월+화+수+목+금+토+일,2024-03-31,2024-10-26,2024-06-19
출발,티웨이항공,TW814,제주,대구,08:20,09:20,월+화+수+목+금+토+일,2024-03-31,2024-10-26,2024-06-19
출발,티웨이항공,TW704,제주,서울/김포,08:25,09:35,수,2024-03-31,2024-10-26,2024-06-19
출발,티웨이항공,TW802,제주,대구,08:25,09:25,월+화+목+금+토+일,2024-03-31,2024-10-26,2024-06-19
출발,에어부산,BX8100,제주,부산/김해,08:30,09:30,월+화+수+목+금+토+일,2024-03-31,2024-06-30,2024-06-19
출발,에어부산,BX8100,제주,부산/김해,08:30,09:30,금,2024-07-01,2024-07-15,2024-06-19
출발,에어부산,BX8100,제주,부산/김해,08:30,09:30,화+수+목+토+일,2024-07-01,2024-07-15,2024-06-19
출발,에어부산,BX8100,제주,부산/김해,08:30,09:30,월,2024-07-01,2024-07-15,2024-06-19
출발,에어부산,BX8100,제주,부산/김해,08:30,09:30,월+화+수+목+금+토+일,2024-07-16,2024-10-26,2024-06-19
출발,아시아나항공,OZ8140,제주,광주,08:30,09:25,월+화+수+목+금+토+일,2024-03-31,2024-10-26,2024-06-19
출발,티웨이항공,TW9712,제주,서울/김포,08:35,09:50,토,2024-06-01,2024-06-25,2024-06-19
출발,이스타항공,ZE204,제주,서울/김포,08:35,09:45,월+화+수+목+금+토+일,2024-06-16,2024-06-30,2024-06-19
출발,이스타항공,ZE204,제주,서울/김포,08:35,09:45,월+화+수+목+금+토+일,2024-07-01,2024-10-26,2024-06-19
출발,이스타항공,ZE2871,제주,부산/김해,08:35,09:35,월+금,2024-06-28,2024-09-20,2024-06-19
출발,대한항공,KE1142,제주,서울/김포,08:40,09:55,월+화+수+목+금+토+일,2024-03-31,2024-10-26,2024-06-19
출발,티웨이항공,TW9712,제주,서울/김포,08:40,09:50,목,2024-06-01,2024-06-25,2024-06-19
출발,제주항공,7C104,제주,서울/김포,08:45,09:55,월+화+수+목+금+토+일,2024-03-31,2024-10-26,2024-06-19
출발,대한항공,KE1512,제주,부산/김해,08:45,09:45,월+화+수+목+금+토+일,2024-03-31,2024-06-30,2024-06-19
출발,대한항공,KE1512,제주,부산/김해,08:45,09:45,월+화+수+목+금+토+일,2024-07-01,2024-10-26,2024-06-19
출발,아시아나항공,OZ8912,제주,서울/김포,08:45,09:55,월+화+수+목+금+토+일,2024-06-11,2024-10-26,2024-06-19
출발,티웨이항공,TW706,제주,서울/김포,08:45,09:55,월+화+수+목+금+토+일,2024-07-10,2024-10-26,2024-06-19
출발,이스타항공,ZE206,제주,서울/김포,08:50,10:00,월+화+수+목+금+토+일,2024-04-21,2024-10-26,2024-06-19
출발,에어부산,BX8026,제주,서울/김포,08:55,10:15,월+화+수+목+금+토+일,2024-03-31,2024-10-26,2024-06-19
출발,대한항공,KE1150,제주,서울/김포,09:00,10:10,월+수+금+일,2024-03-31,2024-10-26,2024-06-19
출발,대한항공,KE1708,제주,청주,09:00,10:10,화+목+토,2024-03-31,2024-10-26,2024-06-19
출발,티웨이항공,TW706,제주,서울/김포,09:00,10:10,월+화+수+목+금+토+일,2024-06-01,2024-06-30,2024-06-19
출발,티웨이항공,TW706,제주,서울/김포,09:00,10:10,월+화+수+목+금+토+일,2024-07-01,2024-07-09,2024-06-19
출발,진에어,LJ472,제주,원주,09:05,10:20,월+화+수+목+금+토+일,2024-03-31,2024-10-26,2024-06-19
출발,아시아나항공,OZ8946,제주,서울/김포,09:05,10:20,토,2024-06-22,2024-06-29,2024-06-19
출발,티웨이항공,TW9712,제주,서울/김포,09:05,10:15,수,2024-06-01,2024-06-25,2024-06-19
출발,에어부산,BX8106,제주,부산/김해,09:10,10:20,월+화+수+목+금+토+일,2024-03-31,2024-10-26,2024-06-19
출발,대한항공,KE1608,제주,광주,09:10,10:05,월+화+수+목+금+토+일,2024-03-31,2024-10-26,2024-06-19
출발,에어부산,BX8040,제주,서울/김포,09:20,10:35,월+금+일,2024-03-31,2024-10-26,2024-06-19
출발,진에어,LJ504,제주,서울/김포,09:20,10:30,월+화+수+목+금+토+일,2024-03-31,2024-10-26,2024-06-19
출발,아시아나항공,OZ8914,제주,서울/김포,09:20,10:30,월+화+수+목+금+토+일,2024-06-01,2024-06-25,2024-06-19
출발,아시아나항공,OZ8914,제주,서울/김포,09:20,10:30,월+화+수+목+금+토+일,2024-06-26,2024-10-26,2024-06-19
출발,대한항공,KE1570,제주,대구,09:25,10:35,월+화+수+목+금+토+일,2024-03-31,2024-10-26,2024-06-19
출발,에어부산,BX8102,제주,부산/김해,09:30,10:30,월+일,2024-03-31,2024-10-26,2024-06-19
출발,에어부산,BX8102,제주,부산/김해,09:30,10:30,화+금,2024-03-31,2024-10-26,2024-06-19
출발,진에어,LJ402,제주,청주,09:30,10:35,월+화+수+목+금+토+일,2024-03-31,2024-10-26,2024-06-19
출발,이스타항공,ZE302,제주,군산,09:30,10:30,월+화+수+목+금+토+일,2024-03-31,2024-10-26,2024-06-19
출발,제주항공,7C802,제주,청주,09:35,10:40,월+화+수+목+금+토+일,2024-03-31,2024-10-26,2024-06-19
출발,에어부산,BX8040,제주,서울/김포,09:40,10:55,화+수+목+토,2024-03-31,2024-10-26,2024-06-19
출발,제주항공,7C106,제주,서울/김포,09:45,10:55,월+화+수+목+금+토+일,2024-03-31,2024-10-26,2024-06-19
출발,에어부산,BX8136,제주,부산/김해,09:45,10:50,월+화+수+목+금+토+일,2024-03-31,2024-10-26,2024-06-19
출발,티웨이항공,TW708,제주,서울/김포,09:50,11:00,월+화+수+목+금+토+일,2024-03-31,2024-10-26,2024-06-19
출발,이스타항공,ZE208,제주,서울/김포,09:50,11:00,월+화+수+목+금+토+일,2024-06-16,2024-10-26,2024-06-19
