마을명,시군구명,읍면동명,행정리명,숙박업소명,업태구분명,숙박업소전화번호,소재지도로명주소,소재지지번주소,위도,경도,인허가일자,상세영업상태코드,상세영업상태명,건물지상층수,건물지하층수,객실수,한실수,양실수,데이터기준일자
남원1리마을,서귀포시,남원읍,남원1리,제주도남원통나무펜션,기타일반 및 생활 숙박시설 운영업,064-764-2103,제주특별자치도 서귀포시 남원읍 태위로 551-5,제주특별자치도 서귀포시 남원읍 남원리 2355-8 외2필지,33.27629737,126.7055072,2006-02-13,13,영업중,2,0,3,0,3,2022-09-30
남원1리마을,서귀포시,남원읍,남원1리,소랑호젠,기타일반 및 생활 숙박시설 운영업,,제주특별자치도 서귀포시 남원읍 태위로 545,제주특별자치도 서귀포시 남원읍 남원리 2356-1,33.27567523,126.7054985,2013-06-13,13,영업중,2,0,10,0,10,2022-09-30
남원1리마을,서귀포시,남원읍,남원1리,제주목화,기타일반 및 생활 숙박시설 운영업,064-764-7942,제주특별자치도 서귀포시 남원읍 태위로 485,제주특별자치도 서귀포시 남원읍 남원리 2452,33.27560586,126.6991228,2004-07-13,13,영업중,2,0,10,2,8,2022-09-30
남원1리마을,서귀포시,남원읍,남원1리,올레길,기타일반 및 생활 숙박시설 운영업,064-764-9099,제주특별자치도 서귀포시 남원읍 남원회관로 45,제주특별자치도 서귀포시 남원읍 남원리 121-1,33.27817429,126.7178265,2013-02-22,13,영업중,4,0,12,0,12,2022-09-30
남원1리마을,서귀포시,남원읍,남원1리,큰엉해올레펜션,기타일반 및 생활 숙박시설 운영업,064-764-7456,제주특별자치도 서귀포시 남원읍 태위로510번길 31-8,제주특별자치도 서귀포시 남원읍 남원리 2396,33.27180548,126.7000535,2013-07-17,13,영업중,3,1,9,0,9,2022-09-30
남원1리마을,서귀포시,남원읍,남원1리,파도봐,기타일반 및 생활 숙박시설 운영업,064-764-1110,제주특별자치도 서귀포시 남원읍 남태해안로 141,제주특별자치도 서귀포시 남원읍 남원리 93-11,33.27824929,126.7200912,2015-02-05,13,영업중,3,0,10,4,6,2022-09-30
남원1리마을,서귀포시,남원읍,남원1리,729펜션,기타일반 및 생활 숙박시설 운영업,,제주특별자치도 서귀포시 남원읍 일주동로 7295-5,제주특별자치도 서귀포시 남원읍 남원리 1590-1,33.28064828,126.7010082,,13,영업중,,,2,,,2022-09-30
남원1리마을,서귀포시,남원읍,남원1리,올레길 펜션,기타일반 및 생활 숙박시설 운영업,064-764-9099,제주특별자치도 서귀포시 남원읍 남원회관로 45,제주특별자치도 서귀포시 남원읍 남원리 121-1,33.2781743,126.7178292,2013-02-22,13,영업중,,,,,,2022-09-30
남원1리마을,서귀포시,남원읍,남원1리,비로소433,민박업,,제주특별자치도 서귀포시 남원읍 태위로510번길 79-33,제주특별자치도 서귀포시 남원읍 남원리 2415-17번지,33.27179128,126.695143,,13,영업중,,,,,,2022-09-30
남원1리마을,서귀포시,남원읍,남원1리,소싯적,민박업,0507-1473-4454,제주특별자치도 서귀포시 남원읍 태위로603번길 3,제주특별자치도 서귀포시 남원읍 남원리 1423-3,33.27716674,126.7109679,,13,영업중,,,1,,,2022-09-30
남원1리마을,서귀포시,남원읍,남원1리,제주제이드,민박업,,제주특별자치도 서귀포시 남원읍 태위로510번길 79-21,제주특별자치도 서귀포시 남원읍 남원리 2415-8,33.27263275,126.6954272,,13,영업중,,,1,,,2022-09-30
남원1리마을,서귀포시,남원읍,남원1리,나무이야기 게스트하우스 남원점,민박업,,제주특별자치도 서귀포시 남원읍 남한로21번길 9,제주특별자치도 서귀포시 남원읍 남원리 153-3,33.28082436,126.7165164,,13,영업중,,,2,,,2022-09-30
남원1리마을,서귀포시,남원읍,남원1리,팔도민박,민박업,064-764-7700,제주특별자치도 서귀포시 남원읍 태위로 604-5,제주특별자치도 서귀포시 남원읍 남원리 1377,33.2765553,126.7116891,2002-07-25,13,영업중,,,5,,,2022-09-30
